Weapon: Dragon Slayer, Skin: White Gold, MeshPart: Cube, ColorMap: rbxassetid://16320647691, MetalnessMap: rbxassetid://16320646657, NormalMap: rbxassetid://16320649195, RoughnessMap: rbxassetid://16320648460
Weapon: Graveaxe, Skin: Crimson, MeshPart: Cylinder.006, ColorMap: rbxassetid://16316703164, MetalnessMap: rbxassetid://16316702583, NormalMap: rbxassetid://16316701916, RoughnessMap: rbxassetid://16316703682
Weapon: Graveaxe, Skin: Crimson, MeshPart: Cylinder.007, ColorMap: rbxassetid://16316703164, MetalnessMap: rbxassetid://16316702583, NormalMap: rbxassetid://16316701916, RoughnessMap: rbxassetid://16316703682
Weapon: Graveaxe, Skin: Crimson, MeshPart: Cube.003, ColorMap: rbxassetid://16316703164, MetalnessMap: rbxassetid://16316702583, NormalMap: rbxassetid://16316701916, RoughnessMap: rbxassetid://16316703682
Weapon: Graveaxe, Skin: Crimson, MeshPart: Torus.003, ColorMap: rbxassetid://16316703164, MetalnessMap: rbxassetid://16316702583, NormalMap: rbxassetid://16316701916, RoughnessMap: rbxassetid://16316703682
Weapon: Graveaxe, Skin: Crimson, MeshPart: Cube.004, ColorMap: rbxassetid://16316703164, MetalnessMap: rbxassetid://16316702583, NormalMap: rbxassetid://16316701916, RoughnessMap: rbxassetid://16316703682
Weapon: Graveaxe, Skin: Crimson, MeshPart: Cube.005, ColorMap: rbxassetid://16316703164, MetalnessMap: rbxassetid://16316702583, NormalMap: rbxassetid://16316701916, RoughnessMap: rbxassetid://16316703682
Weapon: Graveaxe, Skin: Crimson, MeshPart: Cylinder.008, ColorMap: rbxassetid://16316703164, MetalnessMap: rbxassetid://16316702583, NormalMap: rbxassetid://16316701916, RoughnessMap: rbxassetid://16316703682
Weapon: Graveaxe, Skin: White Gold, MeshPart: Torus.002, ColorMap: rbxassetid://16316599492, MetalnessMap: rbxassetid://16316598406, NormalMap: rbxassetid://16316597968, RoughnessMap: rbxassetid://16316600326
Weapon: Graveaxe, Skin: White Gold, MeshPart: Cylinder.002, ColorMap: rbxassetid://16316599492, MetalnessMap: rbxassetid://16316598406, NormalMap: rbxassetid://16316597968, RoughnessMap: rbxassetid://16316600326
Weapon: Graveaxe, Skin: White Gold, MeshPart: Cylinder.003, ColorMap: rbxassetid://16316599492, MetalnessMap: rbxassetid://16316598406, NormalMap: rbxassetid://16316597968, RoughnessMap: rbxassetid://16316600326
Weapon: Graveaxe, Skin: White Gold, MeshPart: Cylinder.005, ColorMap: rbxassetid://16316599492, MetalnessMap: rbxassetid://16316598406, NormalMap: rbxassetid://16316597968, RoughnessMap: rbxassetid://16316600326
Weapon: Graveaxe, Skin: White Gold, MeshPart: Cylinder.006, ColorMap: rbxassetid://16316599492, MetalnessMap: rbxassetid://16316598406, NormalMap: rbxassetid://16316597968, RoughnessMap: rbxassetid://16316600326
Weapon: Graveaxe, Skin: White Gold, MeshPart: Cylinder.007, ColorMap: rbxassetid://16316599492, MetalnessMap: rbxassetid://16316598406, NormalMap: rbxassetid://16316597968, RoughnessMap: rbxassetid://16316600326
Weapon: Graveaxe, Skin: White Gold, MeshPart: Cube.003, ColorMap: rbxassetid://16316599492, MetalnessMap: rbxassetid://16316598406, NormalMap: rbxassetid://16316597968, RoughnessMap: rbxassetid://16316600326
Weapon: Graveaxe, Skin: White Gold, MeshPart: Torus.003, ColorMap: rbxassetid://16316599492, MetalnessMap: rbxassetid://16316598406, NormalMap: rbxassetid://16316597968, RoughnessMap: rbxassetid://16316600326
Weapon: Graveaxe, Skin: White Gold, MeshPart: Cube.004, ColorMap: rbxassetid://16316599492, MetalnessMap: rbxassetid://16316598406, NormalMap: rbxassetid://16316597968, RoughnessMap: rbxassetid://16316600326
Weapon: Graveaxe, Skin: White Gold, MeshPart: Cube.005, ColorMap: rbxassetid://16316599492, MetalnessMap: rbxassetid://16316598406, NormalMap: rbxassetid://16316597968, RoughnessMap: rbxassetid://16316600326
Weapon: Graveaxe, Skin: White Gold, MeshPart: Cylinder.008, ColorMap: rbxassetid://16316599492, MetalnessMap: rbxassetid://16316598406, NormalMap: rbxassetid://16316597968, RoughnessMap: rbxassetid://16316600326
Weapon: Graveaxe, Skin: Golden, MeshPart: Torus.002, ColorMap: rbxassetid://16444942054, MetalnessMap: rbxassetid://16444941558, NormalMap: rbxassetid://16444941083, RoughnessMap: rbxassetid://16444940591
Weapon: Graveaxe, Skin: Golden, MeshPart: Cylinder.002, ColorMap: rbxassetid://16444942054, MetalnessMap: rbxassetid://16444941558, NormalMap: rbxassetid://16444941083, RoughnessMap: rbxassetid://16444940591
Weapon: Graveaxe, Skin: Golden, MeshPart: Cylinder.003, ColorMap: rbxassetid://16444942054, MetalnessMap: rbxassetid://16444941558, NormalMap: rbxassetid://16444941083, RoughnessMap: rbxassetid://16444940591
Weapon: Graveaxe, Skin: Golden, MeshPart: Cylinder.005, ColorMap: rbxassetid://16444942054, MetalnessMap: rbxassetid://16444941558, NormalMap: rbxassetid://16444941083, RoughnessMap: rbxassetid://16444940591
Weapon: Graveaxe, Skin: Golden, MeshPart: Cylinder.006, ColorMap: rbxassetid://16444942054, MetalnessMap: rbxassetid://16444941558, NormalMap: rbxassetid://16444941083, RoughnessMap: rbxassetid://16444940591
Weapon: Graveaxe, Skin: Golden, MeshPart: Cylinder.007, ColorMap: rbxassetid://16444942054, MetalnessMap: rbxassetid://16444941558, NormalMap: rbxassetid://16444941083, RoughnessMap: rbxassetid://16444940591
Weapon: Graveaxe, Skin: Golden, MeshPart: Cube.003, ColorMap: rbxassetid://16444942054, MetalnessMap: rbxassetid://16444941558, NormalMap: rbxassetid://16444941083, RoughnessMap: rbxassetid://16444940591
Weapon: Graveaxe, Skin: Golden, MeshPart: Torus.003, ColorMap: rbxassetid://16444942054, MetalnessMap: rbxassetid://16444941558, NormalMap: rbxassetid://16444941083, RoughnessMap: rbxassetid://16444940591
Weapon: Graveaxe, Skin: Golden, MeshPart: Cube.004, ColorMap: rbxassetid://16444942054, MetalnessMap: rbxassetid://16444941558, NormalMap: rbxassetid://16444941083, RoughnessMap: rbxassetid://16444940591
Weapon: Graveaxe, Skin: Golden, MeshPart: Cube.005, ColorMap: rbxassetid://16444942054, MetalnessMap: rbxassetid://16444941558, NormalMap: rbxassetid://16444941083, RoughnessMap: rbxassetid://16444940591
Weapon: Graveaxe, Skin: Golden, MeshPart: Cylinder.008, ColorMap: rbxassetid://16444942054, MetalnessMap: rbxassetid://16444941558, NormalMap: rbxassetid://16444941083, RoughnessMap: rbxassetid://16444940591
Weapon: Graveaxe, Skin: Moss, MeshPart: Torus.002, ColorMap: rbxassetid://16443035504, MetalnessMap: rbxassetid://16443035074, NormalMap: rbxassetid://16443034584, RoughnessMap: rbxassetid://16443033677
Weapon: Graveaxe, Skin: Moss, MeshPart: Cylinder.002, ColorMap: rbxassetid://16443035504, MetalnessMap: rbxassetid://16443035074, NormalMap: rbxassetid://16443034584, RoughnessMap: rbxassetid://16443033677
Weapon: Graveaxe, Skin: Moss, MeshPart: Cylinder.003, ColorMap: rbxassetid://16443035504, MetalnessMap: rbxassetid://16443035074, NormalMap: rbxassetid://16443034584, RoughnessMap: rbxassetid://16443033677
Weapon: Graveaxe, Skin: Moss, MeshPart: Cylinder.005, ColorMap: rbxassetid://16443035504, MetalnessMap: rbxassetid://16443035074, NormalMap: rbxassetid://16443034584, RoughnessMap: rbxassetid://16443033677
Weapon: Graveaxe, Skin: Moss, MeshPart: Cylinder.006, ColorMap: rbxassetid://16443035504, MetalnessMap: rbxassetid://16443035074, NormalMap: rbxassetid://16443034584, RoughnessMap: rbxassetid://16443033677
Weapon: Graveaxe, Skin: Moss, MeshPart: Cylinder.007, ColorMap: rbxassetid://16443035504, MetalnessMap: rbxassetid://16443035074, NormalMap: rbxassetid://16443034584, RoughnessMap: rbxassetid://16443033677
Weapon: Graveaxe, Skin: Moss, MeshPart: Cube.003, ColorMap: rbxassetid://16443035504, MetalnessMap: rbxassetid://16443035074, NormalMap: rbxassetid://16443034584, RoughnessMap: rbxassetid://16443033677
Weapon: Graveaxe, Skin: Moss, MeshPart: Torus.003, ColorMap: rbxassetid://16443035504, MetalnessMap: rbxassetid://16443035074, NormalMap: rbxassetid://16443034584, RoughnessMap: rbxassetid://16443033677
Weapon: Graveaxe, Skin: Moss, MeshPart: Cube.004, ColorMap: rbxassetid://16443035504, MetalnessMap: rbxassetid://16443035074, NormalMap: rbxassetid://16443034584, RoughnessMap: rbxassetid://16443033677
Weapon: Graveaxe, Skin: Moss, MeshPart: Cube.005, ColorMap: rbxassetid://16443035504, MetalnessMap: rbxassetid://16443035074, NormalMap: rbxassetid://16443034584, RoughnessMap: rbxassetid://16443033677
Weapon: Graveaxe, Skin: Moss, MeshPart: Cylinder.008, ColorMap: rbxassetid://16443035504, MetalnessMap: rbxassetid://16443035074, NormalMap: rbxassetid://16443034584, RoughnessMap: rbxassetid://16443033677
Weapon: Graveaxe, Skin: White Neon Paint, MeshPart: Torus.003, ColorMap: rbxassetid://16487175883, MetalnessMap: rbxassetid://16487175359, NormalMap: rbxassetid://16487174855, RoughnessMap: rbxassetid://16487174303
Weapon: Graveaxe, Skin: White Neon Paint, MeshPart: Torus.002, ColorMap: rbxassetid://16487175883, MetalnessMap: rbxassetid://16487175359, NormalMap: rbxassetid://16487174855, RoughnessMap: rbxassetid://16487174303
Weapon: Graveaxe, Skin: White Neon Paint, MeshPart: Cylinder.008, ColorMap: rbxassetid://16487175883, MetalnessMap: rbxassetid://16487175359, NormalMap: rbxassetid://16487174855, RoughnessMap: rbxassetid://16487174303
Weapon: Graveaxe, Skin: White Neon Paint, MeshPart: Cylinder.007, ColorMap: rbxassetid://16487175883, MetalnessMap: rbxassetid://16487175359, NormalMap: rbxassetid://16487174855, RoughnessMap: rbxassetid://16487174303
Weapon: Graveaxe, Skin: White Neon Paint, MeshPart: Cylinder.006, ColorMap: rbxassetid://16487175883, MetalnessMap: rbxassetid://16487175359, NormalMap: rbxassetid://16487174855, RoughnessMap: rbxassetid://16487174303
Weapon: Graveaxe, Skin: White Neon Paint, MeshPart: Cylinder.005, ColorMap: rbxassetid://16487175883, MetalnessMap: rbxassetid://16487175359, NormalMap: rbxassetid://16487174855, RoughnessMap: rbxassetid://16487174303
Weapon: Graveaxe, Skin: White Neon Paint, MeshPart: Cylinder.003, ColorMap: rbxassetid://16487175883, MetalnessMap: rbxassetid://16487175359, NormalMap: rbxassetid://16487174855, RoughnessMap: rbxassetid://16487174303
Weapon: Graveaxe, Skin: White Neon Paint, MeshPart: Cylinder.002, ColorMap: rbxassetid://16487175883, MetalnessMap: rbxassetid://16487175359, NormalMap: rbxassetid://16487174855, RoughnessMap: rbxassetid://16487174303
Weapon: Graveaxe, Skin: White Neon Paint, MeshPart: Cube.005, ColorMap: rbxassetid://16487175883, MetalnessMap: rbxassetid://16487175359, NormalMap: rbxassetid://16487174855, RoughnessMap: rbxassetid://16487174303
Weapon: Graveaxe, Skin: White Neon Paint, MeshPart: Cube.004, ColorMap: rbxassetid://16487175883, MetalnessMap: rbxassetid://16487175359, NormalMap: rbxassetid://16487174855, RoughnessMap: rbxassetid://16487174303
Weapon: Graveaxe, Skin: White Neon Paint, MeshPart: Cube.003, ColorMap: rbxassetid://16487175883, MetalnessMap: rbxassetid://16487175359, NormalMap: rbxassetid://16487174855, RoughnessMap: rbxassetid://16487174303
Weapon: Graveaxe, Skin: Wallpaper, MeshPart: Torus.002, ColorMap: rbxassetid://16316786181, MetalnessMap: rbxassetid://16316785478, NormalMap: rbxassetid://16316784919, RoughnessMap: rbxassetid://16316786873
Weapon: Graveaxe, Skin: Wallpaper, MeshPart: Cylinder.002, ColorMap: rbxassetid://16316786181, MetalnessMap: rbxassetid://16316785478, NormalMap: rbxassetid://16316784919, RoughnessMap: rbxassetid://16316786873
Weapon: Graveaxe, Skin: Wallpaper, MeshPart: Cylinder.003, ColorMap: rbxassetid://16316786181, MetalnessMap: rbxassetid://16316785478, NormalMap: rbxassetid://16316784919, RoughnessMap: rbxassetid://16316786873
Weapon: Graveaxe, Skin: Wallpaper, MeshPart: Cylinder.005, ColorMap: rbxassetid://16316786181, MetalnessMap: rbxassetid://16316785478, NormalMap: rbxassetid://16316784919, RoughnessMap: rbxassetid://16316786873
Weapon: Graveaxe, Skin: Wallpaper, MeshPart: Cylinder.006, ColorMap: rbxassetid://16316786181, MetalnessMap: rbxassetid://16316785478, NormalMap: rbxassetid://16316784919, RoughnessMap: rbxassetid://16316786873
Weapon: Graveaxe, Skin: Wallpaper, MeshPart: Cylinder.007, ColorMap: rbxassetid://16316786181, MetalnessMap: rbxassetid://16316785478, NormalMap: rbxassetid://16316784919, RoughnessMap: rbxassetid://16316786873
Weapon: Graveaxe, Skin: Wallpaper, MeshPart: Cube.003, ColorMap: rbxassetid://16316786181, MetalnessMap: rbxassetid://16316785478, NormalMap: rbxassetid://16316784919, RoughnessMap: rbxassetid://16316786873
Weapon: Graveaxe, Skin: Wallpaper, MeshPart: Torus.003, ColorMap: rbxassetid://16316786181, MetalnessMap: rbxassetid://16316785478, NormalMap: rbxassetid://16316784919, RoughnessMap: rbxassetid://16316786873
Weapon: Graveaxe, Skin: Wallpaper, MeshPart: Cube.004, ColorMap: rbxassetid://16316786181, MetalnessMap: rbxassetid://16316785478, NormalMap: rbxassetid://16316784919, RoughnessMap: rbxassetid://16316786873
Weapon: Graveaxe, Skin: Wallpaper, MeshPart: Cube.005, ColorMap: rbxassetid://16316786181, MetalnessMap: rbxassetid://16316785478, NormalMap: rbxassetid://16316784919, RoughnessMap: rbxassetid://16316786873
Weapon: Graveaxe, Skin: Wallpaper, MeshPart: Cylinder.008, ColorMap: rbxassetid://16316786181, MetalnessMap: rbxassetid://16316785478, NormalMap: rbxassetid://16316784919, RoughnessMap: rbxassetid://16316786873
Weapon: Graveaxe, Skin: White Wind, MeshPart: Torus.002, ColorMap: rbxassetid://16474610538, MetalnessMap: rbxassetid://16474610186, NormalMap: rbxassetid://16474609697, RoughnessMap: rbxassetid://16474609145
Weapon: Graveaxe, Skin: White Wind, MeshPart: Cylinder.002, ColorMap: rbxassetid://16474610538, MetalnessMap: rbxassetid://16474610186, NormalMap: rbxassetid://16474609697, RoughnessMap: rbxassetid://16474609145
Weapon: Graveaxe, Skin: White Wind, MeshPart: Cylinder.003, ColorMap: rbxassetid://16474610538, MetalnessMap: rbxassetid://16474610186, NormalMap: rbxassetid://16474609697, RoughnessMap: rbxassetid://16474609145
Weapon: Graveaxe, Skin: White Wind, MeshPart: Cylinder.005, ColorMap: rbxassetid://16474610538, MetalnessMap: rbxassetid://16474610186, NormalMap: rbxassetid://16474609697, RoughnessMap: rbxassetid://16474609145
Weapon: Graveaxe, Skin: White Wind, MeshPart: Cylinder.006, ColorMap: rbxassetid://16474610538, MetalnessMap: rbxassetid://16474610186, NormalMap: rbxassetid://16474609697, RoughnessMap: rbxassetid://16474609145
Weapon: Graveaxe, Skin: White Wind, MeshPart: Cylinder.007, ColorMap: rbxassetid://16474610538, MetalnessMap: rbxassetid://16474610186, NormalMap: rbxassetid://16474609697, RoughnessMap: rbxassetid://16474609145
Weapon: Graveaxe, Skin: White Wind, MeshPart: Cube.003, ColorMap: rbxassetid://16474610538, MetalnessMap: rbxassetid://16474610186, NormalMap: rbxassetid://16474609697, RoughnessMap: rbxassetid://16474609145
Weapon: Graveaxe, Skin: White Wind, MeshPart: Torus.003, ColorMap: rbxassetid://16474610538, MetalnessMap: rbxassetid://16474610186, NormalMap: rbxassetid://16474609697, RoughnessMap: rbxassetid://16474609145
Weapon: Graveaxe, Skin: White Wind, MeshPart: Cube.004, ColorMap: rbxassetid://16474610538, MetalnessMap: rbxassetid://16474610186, NormalMap: rbxassetid://16474609697, RoughnessMap: rbxassetid://16474609145
Weapon: Graveaxe, Skin: White Wind, MeshPart: Cube.005, ColorMap: rbxassetid://16474610538, MetalnessMap: rbxassetid://16474610186, NormalMap: rbxassetid://16474609697, RoughnessMap: rbxassetid://16474609145
Weapon: Graveaxe, Skin: White Wind, MeshPart: Cylinder.008, ColorMap: rbxassetid://16474610538, MetalnessMap: rbxassetid://16474610186, NormalMap: rbxassetid://16474609697, RoughnessMap: rbxassetid://16474609145
Weapon: Graveaxe, Skin: Cyan, MeshPart: Torus.002, ColorMap: rbxassetid://16443062899, MetalnessMap: rbxassetid://16443062305, NormalMap: rbxassetid://16443061117, RoughnessMap: rbxassetid://16443061641
Weapon: Graveaxe, Skin: Cyan, MeshPart: Cylinder.002, ColorMap: rbxassetid://16443062899, MetalnessMap: rbxassetid://16443062305, NormalMap: rbxassetid://16443061117, RoughnessMap: rbxassetid://16443061641
Weapon: Graveaxe, Skin: Cyan, MeshPart: Cylinder.003, ColorMap: rbxassetid://16443062899, MetalnessMap: rbxassetid://16443062305, NormalMap: rbxassetid://16443061117, RoughnessMap: rbxassetid://16443061641
Weapon: Graveaxe, Skin: Cyan, MeshPart: Cylinder.005, ColorMap: rbxassetid://16443062899, MetalnessMap: rbxassetid://16443062305, NormalMap: rbxassetid://16443061117, RoughnessMap: rbxassetid://16443061641
Weapon: Graveaxe, Skin: Cyan, MeshPart: Cylinder.006, ColorMap: rbxassetid://16443062899, MetalnessMap: rbxassetid://16443062305, NormalMap: rbxassetid://16443061117, RoughnessMap: rbxassetid://16443061641
Weapon: Graveaxe, Skin: Cyan, MeshPart: Cylinder.007, ColorMap: rbxassetid://16443062899, MetalnessMap: rbxassetid://16443062305, NormalMap: rbxassetid://16443061117, RoughnessMap: rbxassetid://16443061641
Weapon: Graveaxe, Skin: Cyan, MeshPart: Cube.003, ColorMap: rbxassetid://16443062899, MetalnessMap: rbxassetid://16443062305, NormalMap: rbxassetid://16443061117, RoughnessMap: rbxassetid://16443061641
Weapon: Graveaxe, Skin: Cyan, MeshPart: Torus.003, ColorMap: rbxassetid://16443062899, MetalnessMap: rbxassetid://16443062305, NormalMap: rbxassetid://16443061117, RoughnessMap: rbxassetid://16443061641
Weapon: Graveaxe, Skin: Cyan, MeshPart: Cube.004, ColorMap: rbxassetid://16443062899, MetalnessMap: rbxassetid://16443062305, NormalMap: rbxassetid://16443061117, RoughnessMap: rbxassetid://16443061641
Weapon: Graveaxe, Skin: Cyan, MeshPart: Cube.005, ColorMap: rbxassetid://16443062899, MetalnessMap: rbxassetid://16443062305, NormalMap: rbxassetid://16443061117, RoughnessMap: rbxassetid://16443061641
Weapon: Graveaxe, Skin: Cyan, MeshPart: Cylinder.008, ColorMap: rbxassetid://16443062899, MetalnessMap: rbxassetid://16443062305, NormalMap: rbxassetid://16443061117, RoughnessMap: rbxassetid://16443061641
Weapon: Graveaxe, Skin: Dusty Neon, MeshPart: Torus.003, ColorMap: rbxassetid://16615305468, MetalnessMap: rbxassetid://16615304796, NormalMap: rbxassetid://16615304314, RoughnessMap: rbxassetid://16615303162
Weapon: Graveaxe, Skin: Dusty Neon, MeshPart: Torus.002, ColorMap: rbxassetid://16615305468, MetalnessMap: rbxassetid://16615304796, NormalMap: rbxassetid://16615304314, RoughnessMap: rbxassetid://16615303162
Weapon: Graveaxe, Skin: Dusty Neon, MeshPart: Cylinder.008, ColorMap: rbxassetid://16615305468, MetalnessMap: rbxassetid://16615304796, NormalMap: rbxassetid://16615304314, RoughnessMap: rbxassetid://16615303162
Weapon: Graveaxe, Skin: Dusty Neon, MeshPart: Cylinder.007, ColorMap: rbxassetid://16615305468, MetalnessMap: rbxassetid://16615304796, NormalMap: rbxassetid://16615304314, RoughnessMap: rbxassetid://16615303162
Weapon: Graveaxe, Skin: Dusty Neon, MeshPart: Cylinder.006, ColorMap: rbxassetid://16615305468, MetalnessMap: rbxassetid://16615304796, NormalMap: rbxassetid://16615304314, RoughnessMap: rbxassetid://16615303162
Weapon: Graveaxe, Skin: Dusty Neon, MeshPart: Cylinder.005, ColorMap: rbxassetid://16615305468, MetalnessMap: rbxassetid://16615304796, NormalMap: rbxassetid://16615304314, RoughnessMap: rbxassetid://16615303162
Weapon: Graveaxe, Skin: Dusty Neon, MeshPart: Cylinder.003, ColorMap: rbxassetid://16615305468, MetalnessMap: rbxassetid://16615304796, NormalMap: rbxassetid://16615304314, RoughnessMap: rbxassetid://16615303162
Weapon: Graveaxe, Skin: Dusty Neon, MeshPart: Cylinder.002, ColorMap: rbxassetid://16615305468, MetalnessMap: rbxassetid://16615304796, NormalMap: rbxassetid://16615304314, RoughnessMap: rbxassetid://16615303162
Weapon: Graveaxe, Skin: Dusty Neon, MeshPart: Cube.005, ColorMap: rbxassetid://16615305468, MetalnessMap: rbxassetid://16615304796, NormalMap: rbxassetid://16615304314, RoughnessMap: rbxassetid://16615303162
Weapon: Graveaxe, Skin: Dusty Neon, MeshPart: Cube.004, ColorMap: rbxassetid://16615305468, MetalnessMap: rbxassetid://16615304796, NormalMap: rbxassetid://16615304314, RoughnessMap: rbxassetid://16615303162
Weapon: Graveaxe, Skin: Dusty Neon, MeshPart: Cube.003, ColorMap: rbxassetid://16615305468, MetalnessMap: rbxassetid://16615304796, NormalMap: rbxassetid://16615304314, RoughnessMap: rbxassetid://16615303162
Weapon: Crossbow, Skin: Soft Blue, MeshPart: Arrow, ColorMap: rbxassetid://16369079908, MetalnessMap: rbxassetid://16369074258, NormalMap: rbxassetid://16369073851, RoughnessMap: rbxassetid://16369075306
